बश	bs
कोई	koi
मुझे	muje
बताय़ेगा	btayega
के	kke
और	r
कब	kab
आएगी	ayegi
में	me
देखते	dkhte
ही	hi
मै	mai
समझ	smj
गया	gya
था	tha
के	k
आप	aap
से	se
ही	hi
होंगे	honge
दिमाग	dimag
फिर	fir
गया	gya
हे	h
का	ka
आबे	abbe
कुछ	kch
पैसे	paise
खिल	khila
इय़ार	yr
रहेगा	rahega
सब	sub
तू	tu
लड़का	ladka
ही	hi
है	h
ना	na
इतना	itna
डरता	darta
क्यों	ku
है	h
हद्द	hadd
है	h
इय़ार	yr
कुछ	kuch
इनि	ini
क्यों	kyu
होती	hoti
कल	kal
में	me
बन्दर	bandar
ही	hi
साथ	sath
ना	na
ले	le
याओ	jau
में	mein
तू	tu
सच	such
में	me
पागल	pagal
हो	ho
है	h
जो	jo
हो	ho
गया	gya
सो	so
हो	ho
गया	gya
बाबू	babu
एक	ek
अच्छी	achhi
कर	kr
बिल्कुल	bilkul
सही	sahi
कहा	kaha
तो	toh
बड़ी	badi
आय़ेम	aaeam
से	se
घुम	ghum
राहा	rha
होगा	hoga
अपना	apna
हम	ham
यह	yaha
रोते	rote
रहे	rhe
वहां	wahan
तो	toh
इतनी	itni
भीड़	bheed
होती	hoti
हैं	hain
सच	sach
मैं	main
ऐसा	aisa
हुआ	hau
था	tha
क्या	kya
ये	ye
बुड्ढे	bhudhe
लोग	log
भी	bhi
कितने	kitne
कमीने	kamine
होते	hote
है	hai
ना	na
साला	saala
काल	kal
की	ki
ही	hi
बात	baat
है	hai
मै	mai
में	me
य्यारा	jarha
था	tha
पे	pe
एक	ek
बुड्ढे	bhudhe
चड़े	chade
जो	jo
बहत	bht
थे	the
खड़ा	khada
भी	bhi
नी	ni
होया	hoya
य्यारा	jarha
था	tha
उनसे	unse
उन्हे	unhe
देख	dkh
के	ke
मेरे	mere
जाग	jaag
उठ्ठा	gye
मैंने	maine
उन्हे	unhe
अपनी	apni
कर	kr
दी	di
वो	vo
बहत	bht
खुश	khush
हुए	hue
ओर	or
बैठ	baith
ग्याय़े	gye
पे	pe
एक	ek
सी	si
छड़ी	chadi
मेरे	mere
बराबर	brabar
में	me
आके	aake
खड़ी	khadi
होग्याय़ि	hogyi
साले	saale
बुड्ढे	bhudhe
ने	ne
उसे	use
अपनी	apni
कर	kr
दी	di
खुद	khud
खड़ा	khada
होग्याय़ा	hogya
दूर	dur
से	se
मुझे	mujhe
कातिलो	kaatilo
वाली	vali
देता	deta
राहा	rha
सारी	saare
लोग	log
मेरेको	mereko
देख	dekh
रह	rahe
थे	the
जैसे	jaise
मैंने	maine
कुछ	kuch
गलत	galat
काम	kam
कर	kr
दिया	diya
हो	ho
इतना	itna
बुरा	bura
हुआ	hua
लगा	lga
के	k
चल	chal
चोर	chor
यार	yar
ये	ye
कलिजुग	kalyug
है	hai
यह	yaha
भाय़ि	bhlayi
का	ka
यमाना	zmaana
नही	nahi
रहा	raha
है	hai
पर	par
भी	bhi
बहत	bht
बुरा	bura
लगा	lga
के	k
शायद	shayd
अगर	agr
मै	mai
वो	vo
किसी	kisi
ओर	or
को	ko
देता	deta
तो	to
वो	vo
शायद	shayd
एइसा	esa
ना	na
करता	krta
आ	a
चुथिय़ा	chutiya
पान्ति	panti
मत	mt
कर	kr
मैं	m
भी	b
करने	krne
गया	gya
था	tha
पहले	pehle
से	se
कुदने	kudne
ही	hi
वाला	wala
था	tha
बश	bs
एक	ek
दम	dum
से	se
मेरे	mere
माँ	maa
बाप	baap
का	ka
चेहरा	chehra
मेरे	mere
सामने	samne
आया	aya
जिनका	jinka
मैं	m
एक	ek
लौटा	lauta
बेटा	beta
हू	hu
बश	bs
फिर	fir
किय़ा	ky
मैं	m
अब	ab
बहत	bht
खुश	khush
हू	hu
और	aur
हाँ	ha
अब	ab
मैं	m
एक	ek
लड़की	ladki
से	se
बहत	bht
प्यार	pyar
करता	krta
हू	hu
और	aur
वो	wo
है	h
मेरी	meri
प्यारी	pyari
माँ	maa
तेरी	teri
मेरी	meri
बिल्कुल	bilkul
है	h
मेरी	meri
से	se
मेरा	mera
ऐसे	aise
ही	hi
हुआ	hua
था	tha
तो	toh
तुम्हे	tumhe
भी	bhi
उसे	use
देना	dena
चाहिय़े	chaie
इतनी	itni
नहीं	nhi
होनी	honi
चाहिय़े	chaie
वैसे	waise
भी	bhi
महब्बते	mohabatein
में	me
कहा	kaha
गया	gya
है	hai
की	ki
कोई	koi
प्यार	pyaar
करे	kare
तुमसे	tumse
करे	kare
तुम	tum
जैसे	jaise
हो	ho
वैसे	waise
करे	kare
तुम्हे	tumhe
बादल	badal
कर	kar
जो	jo
प्यार	pyar
करे	kare
वो	who
प्यार	pyaar
नहीं	nahin
सउदा	sauda
करे	kare
और	aur
साहिबा	sahiba
प्यार	pyar
में	mein
सउदा	sauda
नहीं	nahin
होता	hota
मेरी	meri
आवाज़	ajab
गज़ब	gazab
प्रेम	prem
कहानी	kahani
की	ki
नैया	naiya
को	ko
पार	paar
करने	karane
में	me
मेरी	meri
मदत	madad
करें	karein
एक	ek
लड़का	ladka
था	tha
जो	jo
मुझे	mujhe
से	se
मजनू	majnu
जैसा	jaisa
प्यार	pyar
करता	karta
था	tha
लेकिन	lekin
मै	mai
किसी	kisi
और	aur
से	se
हो	ho
बैठी	baithi
और	aur
दिल	dil
ओ	o
जान	jan
से	se
उसे	use
प्यार	pyar
कर	kar
बैठी	baithi
तरह	tarah
वो	wo
मजनू	majnu
बेचारा	bechara
बीच	beech
में	me
लटका	latka
रह	reh
गया	gaya
और	aur
बाद	bad
में	m
मैं	mai
भी	bhi
लटक	latak
गयी	gai
क्यूंकि	kyuki
मेरा	mera
बहत	bhot
बड़ा	bada
थरकि	tharki
निकला	nikla
और	aur
हमारा	hamara
होग्याय़ा	hogaya
में	me
आने	ane
के	ke
बाद	bad
मेरा	mera
फिर	fir
से	se
उस	us
मजनू	majnu
से	se
होग्याय़ा	hogaya
क्यूंकि	kyuki
वो	wo
हिन्दू	hindu
का	ka
था	tha
और	aur
वो	wo
मुझे	mujhe
अपना	apna
सा	sa
लगने	lagne
लगा	laga
फिर	fir
भी	bhi
मै	mai
उसे	use
कभि	kbhi
चाह	chah
ना	na
पाइ	pai
मेरा	mera
दिल	dil
घायल	ghayal
जो	jo
था	tha
तो	to
हमारी	hamari
लड़ाई	ladai
होज्ञया	hogai
और	aur
उसने	usne
मुझे	mujhe
कर	kar
दिया	dia
लेकिन	lekin
मैंने	maine
करलिय़ा	karlia
है	hai
की	ki
मेरी	meri
डोली	doli
इनमें	inme
से	se
ही	hi
किसी	kisi
एक	ek
के	ke
घर	ghar
जाएगी	jaegi
अब	ab
आप	aap
ही	hi
बाताइय़े	bataiye
बनू	banu
मै	mai
किसकी	kiski
दुल्हन	dulhan
देख	dekh
यार	yar
से	se
को	ko
और	aur
बड़हबा	badhawa
मिलता	milta
हे	h
जैसे	jise
पहले	pehle
नही	ni
जानते	jante
के	k
कौनसी	kaunsi
का	ka
है	h
साथ	sath
उठते	uthte
बेठते	baithte
खाते	khate
हैं	hain
यब	jub
का	ka
आता	ata
है	h
अपने	apne
आप	ap
हो	ho
जाती	jati
है	h
वाले	wale
की	ki
कोई	koi
माने	mane
या	ya
ना	na
माने	mane
इय़ार	yr
इँहा	yha
कोई	koi
किसी	kisi
का	ka
नही	ni
करता	krta
जाने	jaane
वाले	wale
को	ko
कोई	koi
रोक	rok
नही	ni
सकता	skta
बिना	bina
हुए	hue
भी	b
सालों	saalo
साल	saal
चलता	chalta
है	h
अगर	agr
कोई	koi
चलना	chalana
चाहे	chahe
टॉल	tow
तो	to
जाएगा	jayega
घर	ghr
पर	pr
तुमहारे	tmhare
बाकी	baki
के	k
भी	b
हो	ho
सकते	skte
है	h
मय	may
भी	b
जिसमें	jisme
बनि	bni
उसमे	usme
तो	to
पाक्का	pkka
है	h
वो	wo
मेरे	mere
लिए	liye
था	tha
मेंइ	mei
उससे	usse
निकलना	nikalna
चाहती	chahti
थी	thi
की	ki
मर्जी	marji
से	se
शादी	shaadi
कर	kar
ली	li
फिर	fir
तूने	tune
लिखा	likha
पति	pati
के	ke
साथ	sath
थी	thi
क्या	kya
घण्टा	ghanta
थी	thi
तू	tu
ना	na
बैठ	baith
कर	kar
खा	kha
क्यूंकि	kyunki
तू	tu
किसी	kisi
के	ke
साथ	sath
नही	nahi
हो	ho
सकती	sakti
अपने	apne
के	ke
साथ	sath
शादी	shaadi
भी	bhi
कर	kar
लेगी	legi
ना	na
कुछ	kuch
बार	baad
तुझे	tujhe
तेरा	tera
अच्छा	achcha
लगने	lagne
लगेगा	lagega
मैंने	maine
सभी	sabhi
के	k
पड़े	padhe
यह	yaha
पर	par
कोई	koi
का	ka
कर	kar
रहा	raha
है	hai
तो	to
का	ka
हो	ho
या	ya
दोनों	dono
एक	ek
ही	hi
सिक्के	sikke
का	k
पेहलु	pahlu
है	hai
जैसे	jise
जितना	jitna
मिला	mila
उसने	usne
उतना	utna
लूटा	luta
इस	is
देश	desh
को	ko
मै	mai
हू	hu
की	ki
बने	bane
उसको	usk
कई	kai
है	hai
आज	aaj
देश	desh
कई	kai
टुकड़ों	tukdo
में	me
बट	bata
हुआ	hua
है	hai
आज	aaj
कई	kai
में	me
का	ka
कर	kar
रह	rahe
है	hai
की	ki
वजह	wajah
से	se
चुप	chup
है	hai
की	k
आने	ane
से	se
कम	kam
से	se
कम	kam
देश	desh
तो	to
का	ka
नही	nahi
रहेगा	rahega
तो	to
बिल्कुल	bilkul
भी	b
नही	nahi
के	k
आने	ane
से	se
साय़ा	shaya
हम	hum
को	ko
दे	de
पाए	paye
के	k
आने	ane
से	se
शायद	shayad
तो	to
जरुर	jarur
ऊपर	upar
जाएगी	jayegi
उस	us
बार	bar
मै	mai
को	ko
भी	b
देखा	dekhna
चाहता	chahta
हू	hu
कर	kr
कर	kr
लिया	liya
अब	ab
उसको	usko
तो	toy
की	ki
तरहा	tarh
कर	kr
के	k
यही	yehi
मार	mar
दियो	diyo
गलत	galat
बात	baat
ह	h
बहेन	bhen
यह	yeh
मैं	me
बैंच	bach
गयी	gai
बाहेगुरु	waheguru
सारे	sare
धक्के	dhakke
खा	kha
रहे	rahe
है	hai
आजकल	ajkal
कुत्तो	kutto
की	ki
तरह	tarah
लो	lo
ना	na
ना	na
लो	llo
ओर	or
लो	lo
पर	pr
तो	to
होना	hona
ही	hi
नही	ni
चाहिय़े	chaiye
को	ko
उनकी	unki
के	ke
पर	pr
मिलना	milna
चाहिय़े	chaiye
हद	hadd
है	h
अभी	abi
तो	to
उसका	uska
हुआ	hua
था	tha
तूने	tune
ही	hi
मार	maar
दिया	diya
भाई	bhai
पहले	pehle
खतम	khtm
करले	krle
तो	toh
हुँ	hn
क्यू	kyu
किया	kiya
उस	use
य्यादा	jyda
पागल	pgl
तो	toh
तुम	tum
हो	ho
साय़ेद	shyd
दोनों	dono
लड़किया	ladkia
तुझे	tuj
से	se
कर	kr
रही	ri
है	hai
होती	hoti
तो	to
तेरे	tere
थप्पड़	thapd
मार	mar
के	k
कर	kr
देती	deti
पेहलि	phli
पर	padh
कर	kr
मुझे	mje
लगा	lga
गर्भनिरोधक	garvnirodhk
का	ka
आ	aa
गया	gya
कितना	kitna
भी	bi
हो	ho
होते	hote
पोपट	popat
ही	hi
साले	saale
चड्डी	chaddi
के	ke
ऊपर	upar
पहेनते	pehente
थे	the
मैं	m
सिर्फ़	sirf
यही	yahi
हो	ho
राहा	rha
ह	h
क्या	kya
आजकाल	aajkal
जो	jo
बिल्कुल	bilkul
ए	e
बेहले	vehle
होते	hote
हैं	hein
आज	aaj
जाते	jate
हैं	hein
पे	pe
करने	karne
मुझे	mjhe
तो	to
लगता	lgta
है	hai
वबहि	tbhi
उनकी	unki
वालो	walo
से	se
बनती	banti
नही	nahi
है	hai
इस	iss
बार	baar
भी	v
जो	jo
को	ko
दे	de
दिया	diya
उस	usse
बड़ा	bada
चुथिय़ा	chutiyaa
कोई	koi
नहीं	nhi
होगा	hoga
पराई	padai
लिखाइ	likhai
सब	sb
भार	bhad
मै	mai
गयी	gyi
पहले	phele
करलो	karlo
बस	bus
कितनी	kitni
आई	ayi
बेटा	beta
आपकि	apki
मै	mai
तुम्हे	tumhe
याद	yaad
करते	karte
करते	karte
मेरा	mera
हाथ	hath
दुख	dukh
गया	gaya
तुमहारे	tmhare
पर	pr
है	h
क्या	kya
नई	nai
जानता	janta
की	ki
मैं	main
कौन	kaun
हूँ	hoon
कोई	koi
नई	nai
जानता	janta
पुछिओ	puchiyo
का	ka
लंगर	langar
लगा	laga
है	hai
भाई	bhai
लोग	log
कर	kr
के	k
रहो	rho
शायद	shayad
कुछ	kuch
मिल	mil
जाए	jaaye
सिर्फ़	sirf
सालोय़ार	salwaar
अबे	abe
एय़से	aese
तो	to
हर	hr
लरकि	ldki
अच्छी	achi
लगेगि	lgegi
भी	b
होगी	hogi
ही	he
अरे	are
को	ko
छोड़	chod
तो	to
हुआ	hua
नहीं	nhi
अभी	abhi
तक	tak
बातानि	batani
है	h
तो	to
बता	bta
दे	de
जो	jo
करना	karna
जलदि	jaldi
करना	karna
वरना	varna
कोई	koi
उड़ा	uda
के	k
ले	le
जाएगा	jayega
तुम्हारी	tumhari
को	ko
दिल	dil
छोटा	chota
मत	mat
कर	kar
यार	yaar
की	ki
होती	hoti
है	hai
इसकी	iski
नही	nahi
होती	hoti
की	ki
कहा	kaha
से	se
ली	li
है	hai
बस	bas
का	ka
नाम	naam
होता	hota
है	hai
तेरी	teri
ही	hi
तुझे	tujhe
आगे	aage
लेके	leke
जाएगी	jayegi
थे	the
लड़की	ladki
से	se
प्यार	pyar
करने	karne
को	ko
ज़िन्दगी	zindagi
पड़ी	padi
है	hai
भाई	bhai
देश	desh
से	se
भी	bhi
कुछ	kuch
प्यार	pyar
कर	kar
लो	lo
यब	jb
उसे	use
अपना	apna
दिल	dil
भुलना	bhlana
होता	hota
है	h
वो	wo
तुमहारे	tmhre
पास	pas
आजाता	ajata
